benchmark,bosy,strix,none
amba_decomposed_arbiter,NO_CODE,NO_CODE,ERROR_CONVERT_TO_VERILOG
amba_decomposed_encode,NO_CODE,NO_CODE,ERROR_COMBINE_AIGER
amba_decomposed_lock,NO_CODE,NO_CODE,ERROR_CONVERT_TO_VERILOG
collector_v1,NO_CODE,NO_CODE,ERROR_CONVERT_TO_VERILOG
collector_v2,TIMEOUT,NO_CODE,ERROR_CONVERT_TO_VERILOG
collector_v3,TIMEOUT,ERROR_CONVERT_TO_VERILOG,ERROR_COMBINE_AIGER
detector,TIMEOUT,NO_CODE,ERROR_COMBINE_AIGER
full_arbiter,NO_CODE,NO_CODE,NO_CODE
load_balancer,NO_CODE,NO_CODE,ERROR_CONVERT_TO_VERILOG
ltl2dba_alpha,TIMEOUT,NO_CODE,FALSE_RESULT
ltl2dba_beta,TIMEOUT,NO_CODE,FALSE_RESULT
ltl2dba_C2,TIMEOUT,NO_CODE,ERROR_CONVERT_TO_VERILOG
ltl2dba_E,TIMEOUT,FALSE_RESULT,NO_CODE
ltl2dba_Q,TIMEOUT,ERROR_CONVERT_TO_VERILOG,ERROR_COMBINE_AIGER
ltl2dba_U1,TIMEOUT,NO_CODE,ERROR_CONVERT_TO_VERILOG
mux,TIMEOUT,ERROR_CONVERT_TO_VERILOG,ERROR_CONVERT_TO_VERILOG
narylatch,TIMEOUT,NO_CODE,ERROR_COMBINE_AIGER
prioritized_arbiter,TIMEOUT,NO_CODE,FALSE_RESULT
prioritized_arbiter_enc,TIMEOUT,NO_CODE,ERROR_COMBINE_AIGER
round_robin_arbiter,TIMEOUT,NO_CODE,ERROR_CONVERT_TO_VERILOG
shift,SUCCESS,SUCCESS,FALSE_RESULT
simple_arbiter,TIMEOUT,NO_CODE,NO_CODE
simple_arbiter_enc,FALSE_RESULT,NO_CODE,ERROR_CONVERT_TO_VERILOG
