benchmark,bosy,strix,none
amba_decomposed_arbiter,ERROR_COMBINE_AIGER,ERROR_CONVERT_TO_VERILOG,ERROR_CONVERT_TO_VERILOG
collector_v3,ERROR_COMBINE_AIGER,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG
amba_decomposed_lock,ERROR_CONVERT_TO_VERILOG,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG
collector_v2,ERROR_CONVERT_TO_VERILOG,ERROR_CONVERT_TO_VERILOG,ERROR_COMBINE_AIGER
amba_decomposed_encode,ERROR_CONVERT_TO_VERILOG,ERROR_CONVERT_TO_VERILOG,FALSE_RESULT
collector_v1,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG,FALSE_RESULT
detector,ERROR_COMBINE_AIGER,ERROR_COMBINE_AIGER,ERROR_CONVERT_TO_VERILOG
full_arbiter,NO_CODE,ERROR_CONVERT_TO_VERILOG,ERROR_COMBINE_AIGER
ltl2dba_alpha,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG,ERROR_COMBINE_AIGER
ltl2dba_beta,FALSE_RESULT,ERROR_COMBINE_AIGER,FALSE_RESULT
load_balancer,ERROR_COMBINE_AIGER,ERROR_CONVERT_TO_VERILOG,ERROR_COMBINE_AIGER
ltl2dba_E,ERROR_COMBINE_AIGER,FALSE_RESULT,ERROR_COMBINE_AIGER
ltl2dba_C2,ERROR_COMBINE_AIGER,ERROR_COMBINE_AIGER,ERROR_COMBINE_AIGER
ltl2dba_Q,ERROR_COMBINE_AIGER,ERROR_COMBINE_AIGER,ERROR_COMBINE_AIGER
ltl2dba_U1,FALSE_RESULT,FALSE_RESULT,ERROR_COMBINE_AIGER
mux,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG,FALSE_RESULT
narylatch,ERROR_CONVERT_TO_VERILOG,FALSE_RESULT,FALSE_RESULT
prioritized_arbiter,FALSE_RESULT,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG
prioritized_arbiter_enc,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG,FALSE_RESULT
round_robin_arbiter,ERROR_CONVERT_TO_VERILOG,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG
shift,FALSE_RESULT,FALSE_RESULT,FALSE_RESULT
simple_arbiter_enc,ERROR_COMBINE_AIGER,ERROR_CONVERT_TO_VERILOG,ERROR_COMBINE_AIGER
simple_arbiter,FALSE_RESULT,FALSE_RESULT,FALSE_RESULT
