benchmark,bosy,strix,none
amba_decomposed_arbiter,ERROR_CONVERT_TO_VERILOG,NO_CODE,NO_CODE
amba_decomposed_encode,NO_CODE,NO_CODE,NO_CODE
amba_decomposed_lock,NO_CODE,NO_CODE,NO_CODE
collector_v1,NO_CODE,FALSE_RESULT,FALSE_RESULT
collector_v2,TIMEOUT,NO_CODE,FALSE_RESULT
collector_v3,TIMEOUT,SUCCESS,ERROR_COMBINE_AIGER
detector,TIMEOUT,NO_CODE,NO_CODE
full_arbiter,NO_CODE,FALSE_RESULT,FALSE_RESULT
load_balancer,NO_CODE,NO_CODE,NO_CODE
ltl2dba_alpha,TIMEOUT,NO_CODE,ERROR_CONVERT_TO_VERILOG
ltl2dba_beta,TIMEOUT,NO_CODE,NO_CODE
ltl2dba_C2,TIMEOUT,NO_CODE,NO_CODE
ltl2dba_E,TIMEOUT,FALSE_RESULT,FALSE_RESULT
ltl2dba_Q,TIMEOUT,ERROR_CONVERT_TO_VERILOG,ERROR_CONVERT_TO_VERILOG
ltl2dba_U1,TIMEOUT,NO_CODE,ERROR_CONVERT_TO_VERILOG
mux,TIMEOUT,NO_CODE,NO_CODE
narylatch,TIMEOUT,NO_CODE,FALSE_RESULT
prioritized_arbiter,TIMEOUT,NO_CODE,FALSE_RESULT
prioritized_arbiter_enc,TIMEOUT,ERROR_COMBINE_AIGER,ERROR_CONVERT_TO_VERILOG
round_robin_arbiter,TIMEOUT,FALSE_RESULT,FALSE_RESULT
shift,FALSE_RESULT,SUCCESS,FALSE_RESULT
simple_arbiter,TIMEOUT,NO_CODE,NO_CODE
simple_arbiter_enc,FALSE_RESULT,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG
