benchmark,aag,opt_aag,opt_verilog,standard
amba_decomposed_arbiter,NO_CODE,NO_CODE,NO_CODE,NO_CODE
amba_decomposed_encode,NO_CODE,NO_CODE,NO_CODE,NO_CODE
amba_decomposed_lock,NO_CODE,NO_CODE,NO_CODE,NO_CODE
collector_v2,ERROR_CONVERT_TO_AIGER,NO_CODE,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
collector_v3,FALSE_RESULT,FALSE_RESULT,FALSE_RESULT,SUCCESS
detector,FALSE_RESULT,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
load_balancer,NO_CODE,NO_CODE,NO_CODE,NO_CODE
ltl2dba_alpha,FALSE_RESULT,FALSE_RESULT,NO_CODE,FALSE_RESULT
ltl2dba_C2,FALSE_RESULT,NO_CODE,NO_CODE,FALSE_RESULT
mux,FALSE_RESULT,FALSE_RESULT,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
narylatch,NO_CODE,NO_CODE,NO_CODE,NO_CODE
prioritized_arbiter,ERROR_CONVERT_TO_AIGER,NO_CODE,NO_CODE,FALSE_RESULT
shift,FALSE_RESULT,SUCCESS,SUCCESS,SUCCESS
simple_arbiter,FALSE_RESULT,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
simple_arbiter_enc,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
