benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,NO_CODE,ERROR_CONVERT_TO_AIGER
collector_v2,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
amba_decomposed_encode,AI_ERROR,NO_CODE,NO_CODE
collector_v3,SUCCESS,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
detector,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,NO_CODE
amba_decomposed_lock,AI_ERROR,NO_CODE,ERROR_CONVERT_TO_AIGER
ltl2dba_alpha,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,NO_CODE
load_balancer,ERROR_CONVERT_TO_AIGER,NO_CODE,NO_CODE
mux,ERROR_CONVERT_TO_AIGER,FALSE_RESULT,SUCCESS
ltl2dba_C2,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,NO_CODE
shift,SUCCESS,SUCCESS,FALSE_RESULT
narylatch,AI_ERROR,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
simple_arbiter,FALSE_RESULT,FALSE_RESULT,NO_CODE
simple_arbiter_enc,FALSE_RESULT,NO_CODE,ERROR_CONVERT_TO_AIGER
prioritized_arbiter,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
