benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_VERILOG
amba_decomposed_encode,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_VERILOG
amba_decomposed_lock,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_VERILOG
collector_v2,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG,FALSE_RESULT
collector_v3,SUCCESS,FALSE_RESULT,SUCCESS
detector,FALSE_RESULT,FALSE_RESULT,SUCCESS
load_balancer,FALSE_RESULT,AI_ERROR,ERROR_CONVERT_TO_VERILOG
ltl2dba_alpha,FALSE_RESULT,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG
ltl2dba_C2,FALSE_RESULT,SUCCESS,ERROR_CONVERT_TO_VERILOG
mux,SUCCESS,SUCCESS,SUCCESS
narylatch,AI_ERROR,FALSE_RESULT,NO_CODE
prioritized_arbiter,ERROR_CONVERT_TO_VERILOG,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG
shift,SUCCESS,SUCCESS,SUCCESS
simple_arbiter,FALSE_RESULT,SUCCESS,ERROR_CONVERT_TO_VERILOG
simple_arbiter_enc,FALSE_RESULT,AI_ERROR,FALSE_RESULT
