benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,NO_CODE,ERROR_CONVERT_TO_AIGER
amba_decomposed_encode,AI_ERROR,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
amba_decomposed_lock,AI_ERROR,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
collector_v3,SUCCESS,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
detector,FALSE_RESULT,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
load_balancer,ERROR_CONVERT_TO_AIGER,NO_CODE,ERROR_COMBINE_AIGER
ltl2dba_alpha,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
collector_v2,FALSE_RESULT,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
mux,FALSE_RESULT,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
ltl2dba_C2,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
prioritized_arbiter,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
shift,SUCCESS,SUCCESS,SUCCESS
narylatch,AI_ERROR,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
simple_arbiter,SUCCESS,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
simple_arbiter_enc,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
