benchmark,gpt,palm
amba_decomposed_arbiter,ERROR_CONVERT_TO_AIGER,ERROR_COMBINE_AIGER
amba_decomposed_encode,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
amba_decomposed_lock,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
collector_v2,FALSE_RESULT,FALSE_RESULT
collector_v3,SUCCESS,SUCCESS
detector,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
load_balancer,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
ltl2dba_alpha,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
ltl2dba_C2,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
mux,SUCCESS,SUCCESS
narylatch,FALSE_RESULT,FALSE_RESULT
prioritized_arbiter,FALSE_RESULT,ERROR_COMBINE_AIGER
shift,SUCCESS,SUCCESS
simple_arbiter,ERROR_CONVERT_TO_AIGER,NO_CODE
simple_arbiter_enc,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
