benchmark,bosy,strix
amba_decomposed_arbiter,AI_ERROR,ERROR_CONVERT_TO_AIGER
amba_decomposed_lock,AI_ERROR,ERROR_CONVERT_TO_AIGER
collector_v3,SUCCESS,FALSE_RESULT
detector,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
collector_v2,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
load_balancer,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
ltl2dba_alpha,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
ltl2dba_C2,FALSE_RESULT,FALSE_RESULT
mux,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
shift,SUCCESS,SUCCESS
simple_arbiter,SUCCESS,FALSE_RESULT
prioritized_arbiter,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
simple_arbiter_enc,FALSE_RESULT,ERROR_COMBINE_AIGER
narylatch,AI_ERROR,ERROR_CONVERT_TO_AIGER
amba_decomposed_encode,AI_ERROR,AI_RATELIMIT
