benchmark,bosy,strix
amba_decomposed_arbiter,AI_ERROR,NO_CODE
amba_decomposed_encode,AI_ERROR,ERROR_CONVERT_TO_AIGER
amba_decomposed_lock,AI_ERROR,ERROR_CONVERT_TO_AIGER
collector_v2,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
collector_v3,SUCCESS,SUCCESS
detector,FALSE_RESULT,FALSE_RESULT
load_balancer,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
ltl2dba_alpha,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
ltl2dba_C2,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
mux,SUCCESS,FALSE_RESULT
narylatch,AI_ERROR,ERROR_CONVERT_TO_AIGER
prioritized_arbiter,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
shift,SUCCESS,SUCCESS
simple_arbiter,SUCCESS,FALSE_RESULT
simple_arbiter_enc,FALSE_RESULT,ERROR_COMBINE_AIGER
