benchmark,bosy,strix
amba_decomposed_arbiter,AI_ERROR,AI_ERROR
amba_decomposed_encode,AI_ERROR,NO_CODE
amba_decomposed_lock,AI_ERROR,NO_CODE
collector_v2,AI_ERROR,AI_ERROR
collector_v3,SUCCESS,SUCCESS
detector,FALSE_RESULT,NO_CODE
load_balancer,NO_CODE,AI_ERROR
ltl2dba_alpha,FALSE_RESULT,FALSE_RESULT
ltl2dba_C2,FALSE_RESULT,NO_CODE
mux,FALSE_RESULT,SUCCESS
narylatch,AI_ERROR,NO_CODE
prioritized_arbiter,FALSE_RESULT,NO_CODE
shift,SUCCESS,SUCCESS
simple_arbiter,SUCCESS,FALSE_RESULT
simple_arbiter_enc,FALSE_RESULT,AI_ERROR
