benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,AI_ERROR,NO_CODE
amba_decomposed_encode,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_AIGER
amba_decomposed_lock,AI_ERROR,NO_CODE,FALSE_RESULT
collector_v2,FALSE_RESULT,NO_CODE,ERROR_COMBINE_AIGER
detector,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,SUCCESS
load_balancer,NO_CODE,AI_ERROR,ERROR_COMBINE_AIGER
ltl2dba_alpha,FALSE_RESULT,FALSE_RESULT,FALSE_RESULT
ltl2dba_C2,NO_CODE,NO_CODE,FALSE_RESULT
collector_v3,SUCCESS,SUCCESS,VERIFICATION_TIMEOUT
mux,NO_CODE,SUCCESS,ERROR_COMBINE_AIGER
narylatch,AI_ERROR,NO_CODE,FALSE_RESULT
prioritized_arbiter,FALSE_RESULT,NO_CODE,FALSE_RESULT
shift,SUCCESS,SUCCESS,SUCCESS
simple_arbiter,FALSE_RESULT,FALSE_RESULT,ERROR_COMBINE_AIGER
simple_arbiter_enc,FALSE_RESULT,AI_ERROR,ERROR_CONVERT_TO_AIGER
