benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_AIGER
amba_decomposed_encode,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_AIGER
amba_decomposed_lock,AI_ERROR,ERROR_CONVERT_TO_AIGER,ERROR_COMBINE_AIGER
collector_v2,ERROR_CONVERT_TO_AIGER,ERROR_COMBINE_AIGER,ERROR_CONVERT_TO_AIGER
collector_v3,SUCCESS,ERROR_COMBINE_AIGER,ERROR_COMBINE_AIGER
detector,FALSE_RESULT,ERROR_COMBINE_AIGER,ERROR_CONVERT_TO_AIGER
load_balancer,ERROR_COMBINE_AIGER,AI_ERROR,ERROR_CONVERT_TO_AIGER
ltl2dba_alpha,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER,ERROR_COMBINE_AIGER
ltl2dba_C2,ERROR_COMBINE_AIGER,ERROR_CONVERT_TO_AIGER,ERROR_COMBINE_AIGER
mux,NO_CODE,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
narylatch,AI_ERROR,NO_CODE,ERROR_CONVERT_TO_AIGER
prioritized_arbiter,FALSE_RESULT,ERROR_COMBINE_AIGER,ERROR_CONVERT_TO_AIGER
shift,ERROR_COMBINE_AIGER,SUCCESS,ERROR_CONVERT_TO_AIGER
simple_arbiter,ERROR_COMBINE_AIGER,ERROR_COMBINE_AIGER,ERROR_CONVERT_TO_AIGER
simple_arbiter_enc,ERROR_COMBINE_AIGER,AI_ERROR,ERROR_COMBINE_AIGER
