benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,AI_ERROR,NO_CODE
amba_decomposed_encode,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_VERILOG
amba_decomposed_lock,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_VERILOG
collector_v2,TIMEOUT,AI_ERROR,ERROR_CONVERT_TO_VERILOG
collector_v3,TIMEOUT,ERROR_CONVERT_TO_VERILOG,FALSE_RESULT
detector,TIMEOUT,NO_CODE,FALSE_RESULT
full_arbiter,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_VERILOG
load_balancer,NO_CODE,AI_ERROR,ERROR_CONVERT_TO_VERILOG
collector_v1,NO_CODE,AI_RATELIMIT,ERROR_CONVERT_TO_VERILOG
ltl2dba_alpha,TIMEOUT,ERROR_CONVERT_TO_VERILOG,NO_CODE
ltl2dba_beta,TIMEOUT,AI_ERROR,NO_CODE
ltl2dba_C2,TIMEOUT,NO_CODE,NO_CODE
ltl2dba_E,TIMEOUT,ERROR_CONVERT_TO_VERILOG,ERROR_COMBINE_AIGER
ltl2dba_Q,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
ltl2dba_U1,TIMEOUT,AI_ERROR,ERROR_CONVERT_TO_VERILOG
mux,TIMEOUT,SUCCESS,ERROR_CONVERT_TO_VERILOG
narylatch,TIMEOUT,AI_ERROR,ERROR_CONVERT_TO_VERILOG
prioritized_arbiter,TIMEOUT,AI_ERROR,NO_CODE
prioritized_arbiter_enc,TIMEOUT,AI_ERROR,NO_CODE
round_robin_arbiter,TIMEOUT,AI_ERROR,ERROR_CONVERT_TO_VERILOG
shift,SUCCESS,FALSE_RESULT,SUCCESS
simple_arbiter,TIMEOUT,ERROR_COMBINE_AIGER,NO_CODE
simple_arbiter_enc,FALSE_RESULT,AI_ERROR,ERROR_CONVERT_TO_VERILOG
