benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,NO_CODE,NO_CODE
amba_decomposed_encode,AI_ERROR,NO_CODE,NO_CODE
collector_v1,NO_CODE,AI_ERROR,ERROR_CONVERT_TO_VERILOG
collector_v2,TIMEOUT,AI_ERROR,FALSE_RESULT
amba_decomposed_lock,AI_ERROR,NO_CODE,ERROR_CONVERT_TO_VERILOG
collector_v3,TIMEOUT,SUCCESS,NO_CODE
detector,TIMEOUT,FALSE_RESULT,NO_CODE
full_arbiter,FALSE_RESULT,NO_CODE,ERROR_CONVERT_TO_VERILOG
ltl2dba_alpha,TIMEOUT,ERROR_CONVERT_TO_VERILOG,NO_CODE
load_balancer,FALSE_RESULT,NO_CODE,ERROR_CONVERT_TO_VERILOG
ltl2dba_beta,TIMEOUT,AI_ERROR,NO_CODE
ltl2dba_C2,TIMEOUT,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG
ltl2dba_U1,TIMEOUT,AI_ERROR,NO_CODE
mux,TIMEOUT,SUCCESS,SUCCESS
ltl2dba_Q,TIMEOUT,NO_CODE,ERROR_COMBINE_AIGER
prioritized_arbiter,TIMEOUT,ERROR_CONVERT_TO_VERILOG,ERROR_CONVERT_TO_VERILOG
prioritized_arbiter_enc,TIMEOUT,NO_CODE,NO_CODE
narylatch,TIMEOUT,NO_CODE,FALSE_RESULT
round_robin_arbiter,TIMEOUT,AI_ERROR,NO_CODE
shift,SUCCESS,SUCCESS,FALSE_RESULT
simple_arbiter,TIMEOUT,ERROR_COMBINE_AIGER,NO_CODE
simple_arbiter_enc,FALSE_RESULT,NO_CODE,ERROR_CONVERT_TO_VERILOG
ltl2dba_E,TIMEOUT,UNKNOWN_RESULT,ERROR_CONVERT_TO_VERILOG
