benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,NO_CODE,ERROR_CONVERT_TO_AIGER
amba_decomposed_encode,AI_ERROR,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
amba_decomposed_lock,AI_ERROR,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
collector_v2,TIMEOUT,AI_ERROR,ERROR_CONVERT_TO_AIGER
collector_v3,TIMEOUT,ERROR_CONVERT_TO_AIGER,SUCCESS
detector,TIMEOUT,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
full_arbiter,ERROR_CONVERT_TO_AIGER,NO_CODE,ERROR_CONVERT_TO_AIGER
collector_v1,FALSE_RESULT,AI_RATELIMIT,ERROR_COMBINE_AIGER
load_balancer,FALSE_RESULT,NO_CODE,ERROR_CONVERT_TO_AIGER
ltl2dba_alpha,TIMEOUT,ERROR_CONVERT_TO_AIGER,VERIFICATION_TIMEOUT
ltl2dba_beta,TIMEOUT,AI_ERROR,ERROR_CONVERT_TO_AIGER
ltl2dba_C2,TIMEOUT,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
ltl2dba_E,TIMEOUT,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
ltl2dba_Q,TIMEOUT,ERROR_CONVERT_TO_AIGER,ERROR_COMBINE_AIGER
mux,TIMEOUT,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
narylatch,TIMEOUT,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
prioritized_arbiter,TIMEOUT,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
prioritized_arbiter_enc,TIMEOUT,NO_CODE,FALSE_RESULT
ltl2dba_U1,TIMEOUT,AI_RATELIMIT,ERROR_CONVERT_TO_AIGER
round_robin_arbiter,TIMEOUT,AI_ERROR,ERROR_CONVERT_TO_AIGER
shift,SUCCESS,SUCCESS,SUCCESS
simple_arbiter,TIMEOUT,FALSE_RESULT,FALSE_RESULT
simple_arbiter_enc,FALSE_RESULT,NO_CODE,FALSE_RESULT
