benchmark,gpt,palm
amba_decomposed_arbiter,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
amba_decomposed_encode,FALSE_RESULT,FALSE_RESULT
amba_decomposed_lock,FALSE_RESULT,FALSE_RESULT
collector_v1,FALSE_RESULT,FALSE_RESULT
collector_v2,FALSE_RESULT,FALSE_RESULT
collector_v3,SUCCESS,ERROR_CONVERT_TO_AIGER
detector,ERROR_CONVERT_TO_AIGER,NO_CODE
full_arbiter,FALSE_RESULT,FALSE_RESULT
load_balancer,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
ltl2dba_alpha,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
ltl2dba_beta,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
ltl2dba_C2,FALSE_RESULT,NO_CODE
ltl2dba_E,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
ltl2dba_Q,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
ltl2dba_U1,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
mux,SUCCESS,SUCCESS
narylatch,FALSE_RESULT,FALSE_RESULT
prioritized_arbiter,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
prioritized_arbiter_enc,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
round_robin_arbiter,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
shift,SUCCESS,SUCCESS
simple_arbiter,FALSE_RESULT,NO_CODE
simple_arbiter_enc,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
