benchmark,bosy,strix
amba_decomposed_arbiter,AI_ERROR,ERROR_CONVERT_TO_VERILOG
collector_v2,TIMEOUT,AI_ERROR
amba_decomposed_lock,AI_ERROR,ERROR_CONVERT_TO_VERILOG
collector_v3,TIMEOUT,SUCCESS
detector,TIMEOUT,ERROR_CONVERT_TO_VERILOG
load_balancer,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG
full_arbiter,FALSE_RESULT,NO_CODE
ltl2dba_alpha,TIMEOUT,FALSE_RESULT
ltl2dba_beta,TIMEOUT,AI_ERROR
ltl2dba_C2,TIMEOUT,ERROR_CONVERT_TO_VERILOG
collector_v1,FALSE_RESULT,AI_RATELIMIT
ltl2dba_E,TIMEOUT,FALSE_RESULT
mux,TIMEOUT,ERROR_CONVERT_TO_VERILOG
prioritized_arbiter_enc,TIMEOUT,ERROR_CONVERT_TO_VERILOG
round_robin_arbiter,TIMEOUT,AI_ERROR
prioritized_arbiter,TIMEOUT,ERROR_CONVERT_TO_VERILOG
shift,SUCCESS,SUCCESS
simple_arbiter,TIMEOUT,FALSE_RESULT
narylatch,TIMEOUT,FALSE_RESULT
amba_decomposed_encode,AI_ERROR,ERROR_CONVERT_TO_VERILOG
simple_arbiter_enc,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG
ltl2dba_U1,TIMEOUT,AI_RATELIMIT
ltl2dba_Q,TIMEOUT,FALSE_RESULT
