benchmark,bosy,strix
amba_decomposed_arbiter,AI_ERROR,ERROR_CONVERT_TO_VERILOG
amba_decomposed_encode,AI_ERROR,NO_CODE
amba_decomposed_lock,AI_ERROR,ERROR_CONVERT_TO_VERILOG
collector_v2,TIMEOUT,AI_ERROR
collector_v3,TIMEOUT,SUCCESS
detector,TIMEOUT,FALSE_RESULT
full_arbiter,FALSE_RESULT,NO_CODE
collector_v1,ERROR_CONVERT_TO_VERILOG,AI_RATELIMIT
load_balancer,ERROR_CONVERT_TO_VERILOG,NO_CODE
ltl2dba_alpha,TIMEOUT,ERROR_CONVERT_TO_VERILOG
ltl2dba_beta,TIMEOUT,AI_ERROR
ltl2dba_C2,TIMEOUT,ERROR_CONVERT_TO_VERILOG
ltl2dba_E,TIMEOUT,ERROR_CONVERT_TO_VERILOG
ltl2dba_Q,TIMEOUT,ERROR_CONVERT_TO_VERILOG
mux,TIMEOUT,ERROR_CONVERT_TO_VERILOG
narylatch,TIMEOUT,ERROR_CONVERT_TO_VERILOG
prioritized_arbiter,TIMEOUT,FALSE_RESULT
prioritized_arbiter_enc,TIMEOUT,NO_CODE
round_robin_arbiter,TIMEOUT,AI_ERROR
ltl2dba_U1,TIMEOUT,AI_RATELIMIT
shift,SUCCESS,SUCCESS
simple_arbiter,TIMEOUT,FALSE_RESULT
simple_arbiter_enc,FALSE_RESULT,ERROR_CONVERT_TO_VERILOG
