benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,AI_ERROR,NO_CODE
amba_decomposed_encode,AI_ERROR,AI_ERROR,ERROR_COMBINE_AIGER
amba_decomposed_lock,AI_ERROR,NO_CODE,FALSE_RESULT
collector_v1,NO_CODE,AI_ERROR,ERROR_COMBINE_AIGER
collector_v2,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
collector_v3,TIMEOUT,ERROR_CONVERT_TO_VERILOG,VERIFICATION_TIMEOUT
full_arbiter,NO_CODE,AI_ERROR,NO_CODE
detector,TIMEOUT,NO_CODE,VERIFICATION_TIMEOUT
load_balancer,NO_CODE,AI_ERROR,ERROR_COMBINE_AIGER
ltl2dba_alpha,TIMEOUT,NO_CODE,NO_CODE
ltl2dba_beta,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
ltl2dba_C2,TIMEOUT,NO_CODE,NO_CODE
ltl2dba_Q,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
ltl2dba_E,TIMEOUT,VERIFICATION_TIMEOUT,ERROR_COMBINE_AIGER
ltl2dba_U1,TIMEOUT,AI_ERROR,FALSE_RESULT
mux,TIMEOUT,NO_CODE,ERROR_COMBINE_AIGER
narylatch,TIMEOUT,NO_CODE,ERROR_CONVERT_TO_VERILOG
prioritized_arbiter,TIMEOUT,NO_CODE,FALSE_RESULT
prioritized_arbiter_enc,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
round_robin_arbiter,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
shift,SUCCESS,SUCCESS,SUCCESS
simple_arbiter,TIMEOUT,NO_CODE,NO_CODE
simple_arbiter_enc,FALSE_RESULT,AI_ERROR,ERROR_COMBINE_AIGER
