benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_AIGER
amba_decomposed_encode,AI_ERROR,AI_ERROR,ERROR_COMBINE_AIGER
amba_decomposed_lock,AI_ERROR,NO_CODE,FALSE_RESULT
collector_v1,NO_CODE,AI_ERROR,ERROR_COMBINE_AIGER
collector_v2,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
detector,TIMEOUT,NO_CODE,ERROR_COMBINE_AIGER
full_arbiter,NO_CODE,AI_ERROR,ERROR_COMBINE_AIGER
load_balancer,NO_CODE,AI_ERROR,ERROR_COMBINE_AIGER
ltl2dba_alpha,TIMEOUT,NO_CODE,FALSE_RESULT
collector_v3,TIMEOUT,SUCCESS,VERIFICATION_TIMEOUT
ltl2dba_beta,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
ltl2dba_C2,TIMEOUT,NO_CODE,ERROR_COMBINE_AIGER
ltl2dba_E,TIMEOUT,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
ltl2dba_Q,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
ltl2dba_U1,TIMEOUT,AI_ERROR,FALSE_RESULT
mux,TIMEOUT,NO_CODE,ERROR_COMBINE_AIGER
narylatch,TIMEOUT,NO_CODE,FALSE_RESULT
prioritized_arbiter_enc,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
prioritized_arbiter,TIMEOUT,NO_CODE,VERIFICATION_TIMEOUT
round_robin_arbiter,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
shift,SUCCESS,SUCCESS,SUCCESS
simple_arbiter,TIMEOUT,NO_CODE,ERROR_COMBINE_AIGER
simple_arbiter_enc,FALSE_RESULT,AI_ERROR,FALSE_RESULT
